Source,Text,FAQ item,FAQ link
GPT3 Feb 2021,How do I get a new returns slip?,How can I get a new returns slip?,https://www.asos.com/customer-care/returns-refunds/how-can-i-get-a-new-returns-slip/
GPT3 Feb 2021,How can I get a new returns note?,How can I get a new returns slip?,https://www.asos.com/customer-care/returns-refunds/how-can-i-get-a-new-returns-slip/
GPT3 Feb 2021,I need a new return slip,How can I get a new returns slip?,https://www.asos.com/customer-care/returns-refunds/how-can-i-get-a-new-returns-slip/
GPT3 Feb 2021,I have not received my return slip,How can I get a new returns slip?,https://www.asos.com/customer-care/returns-refunds/how-can-i-get-a-new-returns-slip/
GPT3 Feb 2021,I have not received a returns label,How can I get a new returns slip?,https://www.asos.com/customer-care/returns-refunds/how-can-i-get-a-new-returns-slip/
GPT3 Feb 2021,I did not receive my returns slip,How can I get a new returns slip?,https://www.asos.com/customer-care/returns-refunds/how-can-i-get-a-new-returns-slip/
GPT3 Feb 2021,Can I get a new return slip?,How can I get a new returns slip?,https://www.asos.com/customer-care/returns-refunds/how-can-i-get-a-new-returns-slip/
GPT3 Feb 2021,How can I get a new returns note?,How can I get a new returns slip?,https://www.asos.com/customer-care/returns-refunds/how-can-i-get-a-new-returns-slip/
GPT3 Feb 2021,Can I get a new return slip?,How can I get a new returns slip?,https://www.asos.com/customer-care/returns-refunds/how-can-i-get-a-new-returns-slip/
GPT3 Feb 2021,Can I put in my card on the website?,How can I pay for my order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-can-i-pay-for-my-order/
GPT3 Feb 2021,Can I pay with Visa?,How can I pay for my order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-can-i-pay-for-my-order/
GPT3 Feb 2021,Can I pay with Mastercard?,How can I pay for my order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-can-i-pay-for-my-order/
GPT3 Feb 2021,Can I pay with a debit card?,How can I pay for my order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-can-i-pay-for-my-order/
GPT3 Feb 2021,Can I pay with my Maestro card?,How can I pay for my order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-can-i-pay-for-my-order/
GPT3 Feb 2021,What payment methods do you have?,How can I pay for my order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-can-i-pay-for-my-order/
GPT3 Feb 2021,What payment method do you accept?,How can I pay for my order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-can-i-pay-for-my-order/
GPT3 Feb 2021,Which credit card do you accept?,How can I pay for my order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-can-i-pay-for-my-order/
GPT3 Feb 2021,Can I pay with MoneyGram?,How can I pay for my order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-can-i-pay-for-my-order/
GPT3 Feb 2021,Can I pay with Postepay?,How can I pay for my order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-can-i-pay-for-my-order/
GPT3 Feb 2021,"I'm sick of receiving emails from ASOS, how do I unsubscribe?",How can I unsubscribe from your emails and texts?,https://www.asos.com/customer-care/technical/how-can-i-unsubscribe-from-your-emails-and-texts/
GPT3 Feb 2021,how do I stop getting these emails?,How can I unsubscribe from your emails and texts?,https://www.asos.com/customer-care/technical/how-can-i-unsubscribe-from-your-emails-and-texts/
GPT3 Feb 2021,I want to stop getting the emails!,How can I unsubscribe from your emails and texts?,https://www.asos.com/customer-care/technical/how-can-i-unsubscribe-from-your-emails-and-texts/
GPT3 Feb 2021,please unsubscribe me from asos emails.,How can I unsubscribe from your emails and texts?,https://www.asos.com/customer-care/technical/how-can-i-unsubscribe-from-your-emails-and-texts/
GPT3 Feb 2021,I want to stop receiving emails from ASOS,How can I unsubscribe from your emails and texts?,https://www.asos.com/customer-care/technical/how-can-i-unsubscribe-from-your-emails-and-texts/
GPT3 Feb 2021,I don't want to get emails anymore,How can I unsubscribe from your emails and texts?,https://www.asos.com/customer-care/technical/how-can-i-unsubscribe-from-your-emails-and-texts/
GPT3 Feb 2021,stop sending me emails from ASOS,How can I unsubscribe from your emails and texts?,https://www.asos.com/customer-care/technical/how-can-i-unsubscribe-from-your-emails-and-texts/
GPT3 Feb 2021,can you stop sending me emails,How can I unsubscribe from your emails and texts?,https://www.asos.com/customer-care/technical/how-can-i-unsubscribe-from-your-emails-and-texts/
GPT3 Feb 2021,I no longer wish to receive emails from ASOS,How can I unsubscribe from your emails and texts?,https://www.asos.com/customer-care/technical/how-can-i-unsubscribe-from-your-emails-and-texts/
GPT3 Feb 2021,I don't want to receive emails from ASOS,How can I unsubscribe from your emails and texts?,https://www.asos.com/customer-care/technical/how-can-i-unsubscribe-from-your-emails-and-texts/
GPT3 Feb 2021,I am in India and want to pay in dollars,How do I change the currency on the App?,https://www.asos.com/customer-care/technical/how-do-i-change-the-currency-on-the-app/
GPT3 Feb 2021,I want to pay in euros,How do I change the currency on the App?,https://www.asos.com/customer-care/technical/how-do-i-change-the-currency-on-the-app/
GPT3 Feb 2021,I am in the UK and want to pay in dollars,How do I change the currency on the App?,https://www.asos.com/customer-care/technical/how-do-i-change-the-currency-on-the-app/
GPT3 Feb 2021,I am in Germany and want to pay in Euros,How do I change the currency on the App?,https://www.asos.com/customer-care/technical/how-do-i-change-the-currency-on-the-app/
GPT3 Feb 2021,How do I pay in dollars,How do I change the currency on the App?,https://www.asos.com/customer-care/technical/how-do-i-change-the-currency-on-the-app/
GPT3 Feb 2021,I am in the USA and would like to pay in US dollars,How do I change the currency on the App?,https://www.asos.com/customer-care/technical/how-do-i-change-the-currency-on-the-app/
GPT3 Feb 2021,I am in China and would like to pay in China yuan,How do I change the currency on the App?,https://www.asos.com/customer-care/technical/how-do-i-change-the-currency-on-the-app/
GPT3 Feb 2021,I am in US and would like to pay in US dollars,How do I change the currency on the App?,https://www.asos.com/customer-care/technical/how-do-i-change-the-currency-on-the-app/
GPT3 Feb 2021,I am in Ireland and would like to pay in Euro,How do I change the currency on the App?,https://www.asos.com/customer-care/technical/how-do-i-change-the-currency-on-the-app/
GPT3 Feb 2021,I am in US and would like to pay in US dollars,How do I change the currency on the App?,https://www.asos.com/customer-care/technical/how-do-i-change-the-currency-on-the-app/
GPT3 Feb 2021,Can i return with Hermes?,How do I return something to you from the UK?,https://www.asos.com/customer-care/returns-refunds/how-do-i-return-something-to-you-from-the-uk/
GPT3 Feb 2021,Can i return with DPD?,How do I return something to you from the UK?,https://www.asos.com/customer-care/returns-refunds/how-do-i-return-something-to-you-from-the-uk/
GPT3 Feb 2021,How do I return with Hermes?,How do I return something to you from the UK?,https://www.asos.com/customer-care/returns-refunds/how-do-i-return-something-to-you-from-the-uk/
GPT3 Feb 2021,How do I return with DPD?,How do I return something to you from the UK?,https://www.asos.com/customer-care/returns-refunds/how-do-i-return-something-to-you-from-the-uk/
GPT3 Feb 2021,I want to return something. How can I do this?,How do I return something to you from the UK?,https://www.asos.com/customer-care/returns-refunds/how-do-i-return-something-to-you-from-the-uk/
GPT3 Feb 2021,How do I return to ASOS?,How do I return something to you from the UK?,https://www.asos.com/customer-care/returns-refunds/how-do-i-return-something-to-you-from-the-uk/
GPT3 Feb 2021,How can I return to ASOS?,How do I return something to you from the UK?,https://www.asos.com/customer-care/returns-refunds/how-do-i-return-something-to-you-from-the-uk/
GPT3 Feb 2021,Can I return with Hermes?,How do I return something to you from the UK?,https://www.asos.com/customer-care/returns-refunds/how-do-i-return-something-to-you-from-the-uk/
GPT3 Feb 2021,Can I return with DPD?,How do I return something to you from the UK?,https://www.asos.com/customer-care/returns-refunds/how-do-i-return-something-to-you-from-the-uk/
GPT3 Feb 2021,How do I return an item to DPD?,How do I return something to you from the UK?,https://www.asos.com/customer-care/returns-refunds/how-do-i-return-something-to-you-from-the-uk/
GPT3 Feb 2021,I am a new customer and I want to use my voucher,How do I use my Gift Voucher to pay for an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-do-i-use-my-gift-voucher-to-pay-for-an-order/
GPT3 Feb 2021,My voucher code has been used but I havent bought anything,How do I use my Gift Voucher to pay for an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-do-i-use-my-gift-voucher-to-pay-for-an-order/
GPT3 Feb 2021,"My voucher code hasn't been used, I have a discount code",How do I use my Gift Voucher to pay for an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-do-i-use-my-gift-voucher-to-pay-for-an-order/
GPT3 Feb 2021,My voucher code says it's already been used,How do I use my Gift Voucher to pay for an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-do-i-use-my-gift-voucher-to-pay-for-an-order/
GPT3 Feb 2021,My gift voucher has expired,How do I use my Gift Voucher to pay for an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-do-i-use-my-gift-voucher-to-pay-for-an-order/
GPT3 Feb 2021,"My voucher has already been used, I have a discount code",How do I use my Gift Voucher to pay for an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-do-i-use-my-gift-voucher-to-pay-for-an-order/
GPT3 Feb 2021,My voucher code has been used but I havent bought anything,How do I use my Gift Voucher to pay for an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-do-i-use-my-gift-voucher-to-pay-for-an-order/
GPT3 Feb 2021,My discount code does not get recognized,How do I use my Gift Voucher to pay for an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-do-i-use-my-gift-voucher-to-pay-for-an-order/
GPT3 Feb 2021,My discount code isnt working,How do I use my Gift Voucher to pay for an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/how-do-i-use-my-gift-voucher-to-pay-for-an-order/
GPT3 Feb 2021,I am a new customer and I want to use my discount code,How do I use my Gift Voucher to pay for an order?,
GPT3 Feb 2021,How can I track my next day delivery parcel?,How does your UK Next Day Delivery service work?,https://www.asos.com/customer-care/delivery/how-does-your-uk-next-day-delivery-service-work/
GPT3 Feb 2021,How long will it take for next day delivery?,How does your UK Next Day Delivery service work?,https://www.asos.com/customer-care/delivery/how-does-your-uk-next-day-delivery-service-work/
GPT3 Feb 2021,How much does next day delivery cost?,How does your UK Next Day Delivery service work?,https://www.asos.com/customer-care/delivery/how-does-your-uk-next-day-delivery-service-work/
GPT3 Feb 2021,How long does next day delivery take?,How does your UK Next Day Delivery service work?,https://www.asos.com/customer-care/delivery/how-does-your-uk-next-day-delivery-service-work/
GPT3 Feb 2021,Next day delivery tracking?,How does your UK Next Day Delivery service work?,
GPT3 Feb 2021,Next day delivery price?,How does your UK Standard Delivery service work?,https://www.asos.com/customer-care/delivery/how-does-your-uk-standard-delivery-service-work/
GPT3 Feb 2021,What is next day delivery?,How does your UK Standard Delivery service work?,https://www.asos.com/customer-care/delivery/how-does-your-uk-standard-delivery-service-work/
GPT3 Feb 2021,How much does next day delivery to Europe cost?,How does your UK Standard Delivery service work?,https://www.asos.com/customer-care/delivery/how-does-your-uk-standard-delivery-service-work/
GPT3 Feb 2021,Next day delivery tracking?,How does your UK Standard Delivery service work?,https://www.asos.com/customer-care/delivery/how-does-your-uk-standard-delivery-service-work/
GPT3 Feb 2021,How do I track my next day delivery parcel?,How does your UK Standard Delivery service work?,https://www.asos.com/customer-care/delivery/how-does-your-uk-standard-delivery-service-work/
GPT3 Feb 2021,how do i log in to my account,I'm having trouble signing into my account,https://www.asos.com/customer-care/technical/im-having-trouble-signing-into-my-account/
GPT3 Feb 2021,How to unlock your account,I'm having trouble signing into my account,https://www.asos.com/customer-care/technical/im-having-trouble-signing-into-my-account/
GPT3 Feb 2021,I've forgotten my password and I can't login into my account?,I'm having trouble signing into my account,https://www.asos.com/customer-care/technical/im-having-trouble-signing-into-my-account/
GPT3 Feb 2021,How do I get back into my account?,I'm having trouble signing into my account,https://www.asos.com/customer-care/technical/im-having-trouble-signing-into-my-account/
GPT3 Feb 2021,I can't get into my account,I'm having trouble signing into my account,https://www.asos.com/customer-care/technical/im-having-trouble-signing-into-my-account/
GPT3 Feb 2021,I can't sign in to my account,I'm having trouble signing into my account,https://www.asos.com/customer-care/technical/im-having-trouble-signing-into-my-account/
GPT3 Feb 2021,I can't access my account,I'm having trouble signing into my account,https://www.asos.com/customer-care/technical/im-having-trouble-signing-into-my-account/
GPT3 Feb 2021,My account says it's blocked,I'm having trouble signing into my account,https://www.asos.com/customer-care/technical/im-having-trouble-signing-into-my-account/
GPT3 Feb 2021,how do i get into my account,I'm having trouble signing into my account,https://www.asos.com/customer-care/technical/im-having-trouble-signing-into-my-account/
GPT3 Feb 2021,I can't login to my account,I'm having trouble signing into my account,https://www.asos.com/customer-care/technical/im-having-trouble-signing-into-my-account/
GPT3 Feb 2021,I ordered a coat and a scarf but I received only one of them,"I'm missing an item from my order, what do I do?",https://www.asos.com/customer-care/order-issues/im-missing-an-item-from-my-order-what-do-i-do/
GPT3 Feb 2021,"My order wasn't delivered, whats going on?","I'm missing an item from my order, what do I do?",https://www.asos.com/customer-care/order-issues/im-missing-an-item-from-my-order-what-do-i-do/
GPT3 Feb 2021,How to find out where is my order?,"I'm missing an item from my order, what do I do?",https://www.asos.com/customer-care/order-issues/im-missing-an-item-from-my-order-what-do-i-do/
GPT3 Feb 2021,"I'm missing an item from my order, what do I do?","I'm missing an item from my order, what do I do?",https://www.asos.com/customer-care/order-issues/im-missing-an-item-from-my-order-what-do-i-do/
GPT3 Feb 2021,"My shirt is missing from my order, help!","I'm missing an item from my order, what do I do?",https://www.asos.com/customer-care/order-issues/im-missing-an-item-from-my-order-what-do-i-do/
GPT3 Feb 2021,Two items in my order are missing,"I'm missing an item from my order, what do I do?",https://www.asos.com/customer-care/order-issues/im-missing-an-item-from-my-order-what-do-i-do/
GPT3 Feb 2021,The jeans are missing in my parcel!,"I'm missing an item from my order, what do I do?",https://www.asos.com/customer-care/order-issues/im-missing-an-item-from-my-order-what-do-i-do/
GPT3 Feb 2021,I received the t-shirt and the socks but not the dress,"I'm missing an item from my order, what do I do?",
GPT3 Feb 2021,I havent' received my t-shirt in my parcel,"I'm missing an item from my order, what do I do?",
GPT3 Feb 2021,"I ordered a brand new coat with many other items, received everything but not the coat","I'm missing an item from my order, what do I do?",
GPT3 Feb 2021,I can't change my password,"I've forgotten my password, how do I reset it?",https://www.asos.com/customer-care/technical/ive-forgotten-my-password-how-do-i-reset-it/
GPT3 Feb 2021,I can't remember my pass phrase,"I've forgotten my password, how do I reset it?",https://www.asos.com/customer-care/technical/ive-forgotten-my-password-how-do-i-reset-it/
GPT3 Feb 2021,I lost my login password,"I've forgotten my password, how do I reset it?",https://www.asos.com/customer-care/technical/ive-forgotten-my-password-how-do-i-reset-it/
GPT3 Feb 2021,My password doesn't work,"I've forgotten my password, how do I reset it?",https://www.asos.com/customer-care/technical/ive-forgotten-my-password-how-do-i-reset-it/
GPT3 Feb 2021,I can't log in,"I've forgotten my password, how do I reset it?",https://www.asos.com/customer-care/technical/ive-forgotten-my-password-how-do-i-reset-it/
GPT3 Feb 2021,I can't log in to my account,"I've forgotten my password, how do I reset it?",https://www.asos.com/customer-care/technical/ive-forgotten-my-password-how-do-i-reset-it/
GPT3 Feb 2021,What is my passephrase,"I've forgotten my password, how do I reset it?",https://www.asos.com/customer-care/technical/ive-forgotten-my-password-how-do-i-reset-it/
GPT3 Feb 2021,I forgot my passphrase,"I've forgotten my password, how do I reset it?",https://www.asos.com/customer-care/technical/ive-forgotten-my-password-how-do-i-reset-it/
GPT3 Feb 2021,How do I update my passephrase,"I've forgotten my password, how do I reset it?",https://www.asos.com/customer-care/technical/ive-forgotten-my-password-how-do-i-reset-it/
GPT3 Feb 2021,What is my pass phrase,"I've forgotten my password, how do I reset it?",https://www.asos.com/customer-care/technical/ive-forgotten-my-password-how-do-i-reset-it/
GPT3 Feb 2021,My jeans ripped after 3 washes,"I've received a faulty item, what should I do?",https://www.asos.com/customer-care/order-issues/ive-received-a-faulty-item-what-should-i-do/
GPT3 Feb 2021,The zip on my jeans is faulty,"I've received a faulty item, what should I do?",https://www.asos.com/customer-care/order-issues/ive-received-a-faulty-item-what-should-i-do/
GPT3 Feb 2021,My t-shirt is faded,"I've received a faulty item, what should I do?",https://www.asos.com/customer-care/order-issues/ive-received-a-faulty-item-what-should-i-do/
GPT3 Feb 2021,My jumper has a burn mark,"I've received a faulty item, what should I do?",https://www.asos.com/customer-care/order-issues/ive-received-a-faulty-item-what-should-i-do/
GPT3 Feb 2021,My underwired bra has broken wires,"I've received a faulty item, what should I do?",https://www.asos.com/customer-care/order-issues/ive-received-a-faulty-item-what-should-i-do/
GPT3 Feb 2021,I have a problem with my order,"I've received a faulty item, what should I do?",https://www.asos.com/customer-care/order-issues/ive-received-a-faulty-item-what-should-i-do/
GPT3 Feb 2021,My order was damaged,"I've received a faulty item, what should I do?",https://www.asos.com/customer-care/order-issues/ive-received-a-faulty-item-what-should-i-do/
GPT3 Feb 2021,There is a mark on my product,"I've received a faulty item, what should I do?",https://www.asos.com/customer-care/order-issues/ive-received-a-faulty-item-what-should-i-do/
GPT3 Feb 2021,"I've received a faulty item, what should I do?","I've received a faulty item, what should I do?",https://www.asos.com/customer-care/order-issues/ive-received-a-faulty-item-what-should-i-do/
GPT3 Feb 2021,What if my item is damaged?,"I've received a faulty item, what should I do?",https://www.asos.com/customer-care/order-issues/ive-received-a-faulty-item-what-should-i-do/
GPT3 Feb 2021,I ordered a dress but you sent me the wrong size,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,The item is the wrong color,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I received the wrong item,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,The item is a different colour,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I have an incorrect item,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I received the incorrect item,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I have received the wrong colour,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I have received the wrong size,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I have received the wrong style,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,I have received the incorrect item,"I've received an incorrect item in my order, what do I do?",https://www.asos.com/customer-care/order-issues/ive-received-an-incorrect-item-in-my-order-what-do-i-do/
GPT3 Feb 2021,Im a student I did not receive a confirmation email for my coupon,I’m a student but my email address hasn't been validated for my discount code,https://www.asos.com/customer-care/payment-promos-gift-vouchers/im-a-student-but-my-email-address-hasnt-been-validated-for-my-10-code/
GPT3 Feb 2021,How do I activate my student code,I’m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I did not receive my validation email on my university mailbox,I’m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I have changed my email address but I have not received a new validation email,I’m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I have changed my phone number but I have not received a new validation email,I’m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I am a student but my student email address is not validated,I’m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I'm a student but I don't have the validation email,I’m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I'm a student but I never received the validation email,I’m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I have been trying to login with my student discount code but I have not received a validation email,I’m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,How do I get a student discount code,I’m a student but my email address hasn't been validated for my discount code,
GPT3 Feb 2021,I received a confirmation email but I've never received an order number,"I’m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I got an order number for an order but I haven't received a confirmation email,"I’m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I am waiting for an order but I haven't heard anything from ASOS,"I’m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,ASOS isn't contacting me about my order,"I’m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received an order confirmation email from ASOS,"I’m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received an order number for an order,"I’m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received an order confirmation email,"I’m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received a shipping confirmation email,"I’m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received a payment confirmation email from ASOS,"I’m not receiving any communications from ASOS, what should I do?",https://www.asos.com/customer-care/technical/i%E2%80%99m-not-receiving-any-communications-from-asos-what-should-i-do/
GPT3 Feb 2021,I haven't received a refund confirmation email from ASOS,"I’m not receiving any communications from ASOS, what should I do?",
GPT3 Feb 2021,how can I pay in Italian Lira?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,can I pay in euros?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,accept euros?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,can I pay in Euros?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,do you accept British pounds?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,can I pay in GBP?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,do you accept British pounds?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,you accept euros?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,pounds?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,do you accept Indian Rupees?,What currencies can I use to place an order?,https://www.asos.com/customer-care/payment-promos-gift-vouchers/what-currencies-can-i-use-to-place-an-order/
GPT3 Feb 2021,What do I do if I've changed my card details?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,Where will my refund go if my card details have changed?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,What happens to my refund if my card is no longer in use?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,If my bank details change will you refund my order?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,Can I get a refund to a different card?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,What happens to my refund if my card is no longer in use?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,If my bank details change will you refund my order?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,Can I get a refund to a different card?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,What happens to my refund if my bank details have changed?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,Can I change my card details after I have requested a refund?,What happens to my refund if my card is no longer in use?,https://www.asos.com/customer-care/returns-refunds/what-happens-to-my-refund-if-my-card-is-no-longer-in-use/
GPT3 Feb 2021,What do you consider animal welfare?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Are you cruelty-free?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,How do you ensure your products are cruelty-free?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Do you use real leather in your products?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Do you use real fur in your products?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Do you use animal skin in your products?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Is your whole collection vegan?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Does ASOS use animal fur?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Do you use animal skin in your products?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,Is ASOS vegan?,What is ASOS' company policy regarding Animal Welfare?,https://www.asos.com/customer-care/product-stock/what-is-asos-company-policy-regarding-animal-welfare/
GPT3 Feb 2021,What if I have a question about my order?,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
GPT3 Feb 2021,How long do I have to return an item?,What is your Returns Policy?,https://www.asos.com/customer-care/returns-refunds/what-is-your-returns-policy/
