,Source,Text,FAQ item,FAQ link
1143,T5 Augmentation April 2021,I am going on a holiday and want to send an order at my hotel. I want it to be delivered on time. How can I do this?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1144,T5 Augmentation April 2021,"I'm going for holiday and want my order delivered to my hotel. I want to be at a reputable and dependable, but not overcharged hotel.",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1145,T5 Augmentation April 2021,I am going on holiday and want my order delivered to my hotel. I am going with my family. I want to drive to the airport of my favourite city.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1146,T5 Augmentation April 2021,Have I paid for my online holiday order?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1147,T5 Augmentation April 2021,I am going on a holiday and want my order delivered to my hotel. I can do it online. For a very reasonable price. I don't know what to ask for.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1148,T5 Augmentation April 2021,I live in a different country to my billing address. I must live in other country.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1149,T5 Augmentation April 2021,"Since I live in a different country to my billing address, this is my bad IP billing account so no credit card can be included in my bill. I don't plan on paying in my different country and I get my bill. I would suggest that you send an email or call to your billing address.",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1150,T5 Augmentation April 2021,I live in a different country from my billing address to my billing address. I must contact USA or Australia if I order online.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1151,T5 Augmentation April 2021,What are billing addresses in a different country from my billing address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1152,T5 Augmentation April 2021,I'm from another country and I live in India which is different from my billing address. Can you help me with a simple billing question?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1153,T5 Augmentation April 2021,I live in a different country to my billing address. Can anybody help me with information?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1154,T5 Augmentation April 2021,I live in a different country to my billing address and want to share my billing address to 3rd party vendors or agencies. I could not use this address! I have no access to any online connection with the US or Australia.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1155,T5 Augmentation April 2021,"I live in a country completely different to me, how smtp billing addresses work. I live in different country. Is there any problem?",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1156,T5 Augmentation April 2021,I live in a different country to my billing address. My billing address does not matter. Can I change it?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1157,T5 Augmentation April 2021,I live in a different country to my billing address. This are very different countries. I live in a different country to my billing address.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1158,T5 Augmentation April 2021,I have changed my Facebook address. Is it possible to update that address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1159,T5 Augmentation April 2021,Can I update my address? I made the change.. What should I do?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1160,T5 Augmentation April 2021,How can I update my email address if I changed my Google address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1161,T5 Augmentation April 2021,How do I update my address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1162,T5 Augmentation April 2021,How can I update my address on my Google account?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1163,T5 Augmentation April 2021,How do I update an address on my email?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1164,T5 Augmentation April 2021,I have changed my email address. How can I update it?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1165,T5 Augmentation April 2021,"I forgot my phone's address, can I check this?",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1166,T5 Augmentation April 2021,Can you update my address or can I change it?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1167,T5 Augmentation April 2021,How can you update your email address if you have changed your e-mail address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1168,T5 Augmentation April 2021,What should I do if I receive the wrong item and I have the mistaken thing sent?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1169,T5 Augmentation April 2021,How can I get the wrong item delivered to another e-mail?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1170,T5 Augmentation April 2021,How can I bring that wrong item to my husband?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1171,T5 Augmentation April 2021,How do I send a missing or incorrect item to another address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1172,T5 Augmentation April 2021,I was sent the wrong item how can I have it delivered for an additional address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1173,T5 Augmentation April 2021,How do I send a wrong item back to the correct address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1174,T5 Augmentation April 2021,How can I have my product delivered to a different address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1175,T5 Augmentation April 2021,Is it possible to have an item delivered to another address that I was sent but the same has not been received?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1176,T5 Augmentation April 2021,How do you find out if your address was sent the wrong item?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1177,T5 Augmentation April 2021,My order was delivered to an out of date address. The sender is not authorized. How do I check their refund policy?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1178,T5 Augmentation April 2021,How do you deliver your orders to a different address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1179,T5 Augmentation April 2021,How do I get my order delivered to a different address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1180,T5 Augmentation April 2021,How do I deliver my packages to a new address in United Kingdom?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1181,T5 Augmentation April 2021,Can I make my order delivered to my address already?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1182,T5 Augmentation April 2021,How do I receive my order from another country?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1183,T5 Augmentation April 2021,How can I order a product at another address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1184,T5 Augmentation April 2021,How do I have an order sent to a different place?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1185,T5 Augmentation April 2021,How do I be sent an order to a different address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1186,T5 Augmentation April 2021,What are some ways to make your order sent to different address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1187,T5 Augmentation April 2021,What can I do if I want to change my address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1188,T5 Augmentation April 2021,How do I change my email address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1189,T5 Augmentation April 2021,How can I change my address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1190,T5 Augmentation April 2021,How do I change my old address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1191,T5 Augmentation April 2021,I want to change my address but cannot do anything about it.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1192,T5 Augmentation April 2021,I want to change my address. What can I do?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1193,T5 Augmentation April 2021,"If you want to change the postcode on your address, contact the administrator.",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1194,T5 Augmentation April 2021,How do I change my email to my new address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1195,T5 Augmentation April 2021,"I want to change my address in my home country. I don't want to change my email address, I have to contact the city to change it.",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1196,T5 Augmentation April 2021,How do I change my address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1197,T5 Augmentation April 2021,I want to change delivery address. how do I do it?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1198,T5 Augmentation April 2021,Should I change my delivery address or the default delivery address? What should I do?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1199,T5 Augmentation April 2021,I want to change my delivery address. What can I do?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1200,T5 Augmentation April 2021,How can I modify my delivery address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1201,T5 Augmentation April 2021,I cant send an email to a new delivery address. How can I change it?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1202,T5 Augmentation April 2021,Can you change your delivery address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1203,T5 Augmentation April 2021,How do I change my delivery address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1204,T5 Augmentation April 2021,How do I change delivery address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1205,T5 Augmentation April 2021,"I want to change my delivery address, please contact customer support.",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1206,T5 Augmentation April 2021,I want to ship my order to my friends house. I want to ship on an International shipping trip. Will it affect the delivery process?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1207,T5 Augmentation April 2021,How do I ship my order to friend house?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1208,T5 Augmentation April 2021,How do I ship my order to my friends house for a party but don't know what I'm doing?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1209,T5 Augmentation April 2021,My order will ship to a friend's house. I want to ship it to him. I told him I needed to ship. I did not want to send your order.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1210,T5 Augmentation April 2021,I want to ship my order to my friend houses house. They don't even want to see me personally. When will I get a request?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1211,T5 Augmentation April 2021,How can I ship my orders to friends house?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1212,T5 Augmentation April 2021,I want to ship my order to my friends house. I have a very nice wooden deck. I want to ship to my friend's house. I'm doing this and doing it properly.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1213,T5 Augmentation April 2021,I want to ship my order home to my mother-in-law's house. I want to ship my order for a child home. She has a friend that does not visit me on Skype. Is their not open till Friday?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1214,T5 Augmentation April 2021,I want to ship my order to my friend house because I have a big order!,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1215,T5 Augmentation April 2021,I want to ship my order to my friends house. I order several items per week and they never ship to us!,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1216,T5 Augmentation April 2021,I want my order to be sent to my daughter's address. Please email me.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1217,T5 Augmentation April 2021,I want to ship my order to my daughter's address. I am using an iPad 6s Plus model. I am using my original model 6s plus model 6s. I don't want to receive the mail and I can't send her into my current address.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1218,T5 Augmentation April 2021,I want to ship my order to my daughter's address. What can I do?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1219,T5 Augmentation April 2021,I want to ship my order to my daughter's address. What does that mean?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1220,T5 Augmentation April 2021,How do I ship my order to my daughter's address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1221,T5 Augmentation April 2021,I want to ship my order in the following address to my daughter's address.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1222,T5 Augmentation April 2021,"When I purchase something for someone else's address, I want to ship it to her address. I want to ship it to her home address. I have found Amazon. I want to avoid paying shipping. I want to ship my order to my daughter's address. I have forgotten the billing address for my order. Is this the way to send my order?",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1223,T5 Augmentation April 2021,How can I ship my order to my daughter's address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1224,T5 Augmentation April 2021,I want to ship my order to my daughter's address. I want her to be an attorney if she wanted to use them as their agent.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1225,T5 Augmentation April 2021,I want to ship my order to my daughter's address. I can't find her password or e-mail address. I can't see her or his name. I'll keep my order.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1226,T5 Augmentation April 2021,I want to ship my order home to my parents house. They were not pleased. Can we ship to them on the spot. I promise they will take everything.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1227,T5 Augmentation April 2021,My orders can be shipped to my parents house or office. I want to ship them from their home. How do I do this?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1228,T5 Augmentation April 2021,How do I ship my packages to my parents house on Friday?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1229,T5 Augmentation April 2021,I want to ship my order to my parents house but I don’t want them able to see my parents. I can have to do it at my parents house before I arrive.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1230,T5 Augmentation April 2021,I want to ship my order to my parents house. I want to send a package to my dad!,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1231,T5 Augmentation April 2021,I want to ship my order to my parents house. My father always says the same thing. Mommy always told me that his orders would not go to his house but they say it will.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1232,T5 Augmentation April 2021,I want to bring my order to my parents house. I am very sorry.,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1233,T5 Augmentation April 2021,"I want to ship my Order to my parents house. I want to ship, but I can't send them to my parents home. Is it OK?",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1234,T5 Augmentation April 2021,"I want to ship my order to my parents house, but not a child. I want this to happen at my parents house.",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1235,T5 Augmentation April 2021,Can I ship package to my parents house?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
1236,T5 Augmentation April 2021,Can you send back this perfume when it hasn't been used or loved?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1237,T5 Augmentation April 2021,Can I send back this fragrance i have bought from you?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1238,T5 Augmentation April 2021,Can I send a perfume back?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1239,T5 Augmentation April 2021,I don't like perfume. Can I send this back?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1240,T5 Augmentation April 2021,How do I send my unused perfume back?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1241,T5 Augmentation April 2021,Who really dislikes perfumes and how can I send them back and why?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1242,T5 Augmentation April 2021,Can I send back this fragment that I am using in my house?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1243,T5 Augmentation April 2021,I don't like this perfume can I send it back or refund it?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1244,T5 Augmentation April 2021,How do you send a damaged perfume to a person who wanted to return it?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1245,T5 Augmentation April 2021,What about how do I send back a perfume?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1246,T5 Augmentation April 2021,Can I return any perfume I purchased?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1247,T5 Augmentation April 2021,How do I return my perfume?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1248,T5 Augmentation April 2021,What do you do if you return the perfume?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1249,T5 Augmentation April 2021,Can I return a perfume?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1250,T5 Augmentation April 2021,What can be the policy of return for perfume?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1251,T5 Augmentation April 2021,How can I return this perfume?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1252,T5 Augmentation April 2021,How can I return perfume/lime?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1253,T5 Augmentation April 2021,How do I return perfumes?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1254,T5 Augmentation April 2021,How can I return the perfume I bought?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1255,T5 Augmentation April 2021,I bought a Perfurme and it had an offer of 3 freebies can I return it?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1256,T5 Augmentation April 2021,I received a monthly post on the blog www.futurepower.blogspot.com. Is it possible to get in full refund if you have bought a subscription just now?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1257,T5 Augmentation April 2021,What are the ways to return an e-card that you bought with three freebies?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1258,T5 Augmentation April 2021,I bought a perfurme with an offer of freebies and I don't like them can I return them. I have a 1 day trial.,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1259,T5 Augmentation April 2021,I bought a Furme with an offer of three freebies and I don't like them. Can I return them if they are not there and they are good enough to try out again?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1260,T5 Augmentation April 2021,"What are the options I have to return free perfurme perfurme! I bought one, and was offered 3 items for free. Can I return them soon? If so, what should I expect?","Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1261,T5 Augmentation April 2021,"I have a fake perfume deal but I like the freebies, ad can I return it or just spend money?","Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1262,T5 Augmentation April 2021,I bought a Perfurme with an offer of three freebies. Can I return them?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1263,T5 Augmentation April 2021,My Perfurme is a free site. If I like my freebies I get a refund if I can't remember my refund number?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1264,T5 Augmentation April 2021,I bought a Furme with an offer of three freebies and I don't like them Can I return them?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1265,T5 Augmentation April 2021,Can I return Parfum?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1266,T5 Augmentation April 2021,Can I return my fragrance?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1267,T5 Augmentation April 2021,Is it possible to return a perfume I bought?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1268,T5 Augmentation April 2021,Is it safe to return perfume?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1269,T5 Augmentation April 2021,Is it possible to return a perfume that I bought in a different store?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1270,T5 Augmentation April 2021,If I am not happy with the fragrance what can I do?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1271,T5 Augmentation April 2021,"I'm not happy with this perfume, can I return it?","Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1272,T5 Augmentation April 2021,What are some of the best ways to return my favorite perfume..but I am not so happy with it. How should I respond?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1273,T5 Augmentation April 2021,Is it possible to return this perfume?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
1274,T5 Augmentation April 2021,Is it possible to return a fragrance after a couple of weeks?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
